indicador,variable,variable_descripcion,area,area_tipo,valor
Empleo informal,Ocupados (sin empleadas del hogar) Municipio,Hab. 2012 Municipio,Área Metropolitana de La Paz,Metropolitana,785426.0
Empleo informal,Ocupados (sin empleadas del hogar) Municipio,Hab. 2012 Municipio,Área Metropolitana de Cochabamba,Metropolitana,494707.0
Empleo informal,Ocupados (sin empleadas del hogar) Municipio,Hab. 2012 Municipio,Área Metropolitana de Santa Cruz,Metropolitana,844158.0
Empleo informal,Ocupados (sin empleadas del hogar) Municipio,Hab. 2012 Municipio,Total 20 ciudades,Ciudad,2555340.0
Empleo informal,Ocupados (sin empleadas del hogar) Municipio,Hab. 2012 Municipio,Sucre,Ciudad,103335.0
Empleo informal,Ocupados (sin empleadas del hogar) Municipio,Hab. 2012 Municipio,La Paz,Ciudad,361478.0
Empleo informal,Ocupados (sin empleadas del hogar) Municipio,Hab. 2012 Municipio,El Alto,Ciudad,374817.0
Empleo informal,Ocupados (sin empleadas del hogar) Municipio,Hab. 2012 Municipio,Viacha,Ciudad,37893.0
Empleo informal,Ocupados (sin empleadas del hogar) Municipio,Hab. 2012 Municipio,Cochabamba,Ciudad,277184.0
Empleo informal,Ocupados (sin empleadas del hogar) Municipio,Hab. 2012 Municipio,Quillacollo,Ciudad,58456.0
Empleo informal,Ocupados (sin empleadas del hogar) Municipio,Hab. 2012 Municipio,Tiquipaya,Ciudad,23541.0
Empleo informal,Ocupados (sin empleadas del hogar) Municipio,Hab. 2012 Municipio,Colcapirhua,Ciudad,22559.0
Empleo informal,Ocupados (sin empleadas del hogar) Municipio,Hab. 2012 Municipio,Sacaba,Ciudad,73256.0
Empleo informal,Ocupados (sin empleadas del hogar) Municipio,Hab. 2012 Municipio,Oruro,Ciudad,107686.0
Empleo informal,Ocupados (sin empleadas del hogar) Municipio,Hab. 2012 Municipio,Potosí,Ciudad,71534.0
Empleo informal,Ocupados (sin empleadas del hogar) Municipio,Hab. 2012 Municipio,Tarija,Ciudad,96553.0
Empleo informal,Ocupados (sin empleadas del hogar) Municipio,Hab. 2012 Municipio,Yacuiba,Ciudad,41132.0
Empleo informal,Ocupados (sin empleadas del hogar) Municipio,Hab. 2012 Municipio,Santa Cruz de La Sierra,Ciudad,675618.0
Empleo informal,Ocupados (sin empleadas del hogar) Municipio,Hab. 2012 Municipio,La Guardia,Ciudad,39588.0
Empleo informal,Ocupados (sin empleadas del hogar) Municipio,Hab. 2012 Municipio,Warnes,Ciudad,40259.0
Empleo informal,Ocupados (sin empleadas del hogar) Municipio,Hab. 2012 Municipio,Montero,Ciudad,46376.0
Empleo informal,Ocupados (sin empleadas del hogar) Municipio,Hab. 2012 Municipio,Trinidad,Ciudad,46470.0
Empleo informal,Ocupados (sin empleadas del hogar) Municipio,Hab. 2012 Municipio,Riberalta,Ciudad,36752.0
Empleo informal,Ocupados (sin empleadas del hogar) Municipio,Hab. 2012 Municipio,Cobija,Ciudad,20853.0
Empleo informal,Ocupados (sin empleadas del hogar) Municipio,Hab. 2012 Municipio,Achocalla,Ciudad,11238.0
Empleo informal,Ocupados (sin empleadas del hogar) Municipio,Hab. 2012 Municipio,Sipe Sipe,Ciudad,18031.0
Empleo informal,Ocupados (sin empleadas del hogar) Municipio,Hab. 2012 Municipio,Vinto,Ciudad,21680.0
Empleo informal,Ocupados (sin empleadas del hogar) Municipio,Hab. 2012 Municipio,Cotoca,Ciudad,18995.0
Empleo informal,Ocupados (sin empleadas del hogar) Municipio,Hab. 2012 Municipio,El Torno,Ciudad,23322.0
Empleo informal,Ocupados informales Municipio,Hab. 2012 Municipio,Área Metropolitana de La Paz,Metropolitana,561721.0
Empleo informal,Ocupados informales Municipio,Hab. 2012 Municipio,Área Metropolitana de Cochabamba,Metropolitana,332366.0
Empleo informal,Ocupados informales Municipio,Hab. 2012 Municipio,Área Metropolitana de Santa Cruz,Metropolitana,463730.0
Empleo informal,Ocupados informales Municipio,Hab. 2012 Municipio,Total 20 ciudades,Ciudad,1645306.0
Empleo informal,Ocupados informales Municipio,Hab. 2012 Municipio,Sucre,Ciudad,74337.0
