objetivo,objetivo_descripcion,linea,indicador,indicador_codigo,metodo,fuente,descripcion,resolucion
Ciudades inclusivas,"Con el fin de lograr la integración de la ciudadanía a su comunidad, para lograr una convivencia más armónica y con un mayor grado de democracia, es que se busca reducir las brechas de género y generacionales en cuanto al acceso a servicios e infraestructura que brindan las ciudades. Luchar contra las desigualdades y la segregación socioespacial que implica generar las condiciones para que quienes se sientan excluidos o quienes perciban que han disminuido sus derechos puedan tener acceso a los recursos y a las oportunidades de la vida en ciudad. 
- Brechas de género y generacionales
- Desigualdad y segregación socio espacial.
- Identidad cultural y el valor del patrimonio y la memoria colectiva
- Incorporación plena de los pueblos indígenas originarios al desarrollo de las ciudades",Disminuir las brechas de género y generacionales,Índice modificado de Inequidad de Género,2,"Diferencias entre hombres y mujeres sobre: seguro de salud, educación secundaria y superior, participación en los concejos municipales y participación en el mercado de trabajo.",Encuesta de Hogares - EH 2019 del INE.,"Se utilizaron las siguientes variables para Hombres y Mujeres: 1. SALUD: Si están afiliados a algún seguro de salud; 2. EMPODERAMIENTO: Educación: personas de 25+ años que tienen 9 o más años de estudio; Participación Política: número de concejales municipales; 3. MERCADO DE TRABAJO: Ocupados y desocupados respecto de la población de 15 años y más edad.
Luego se calculó la media geométrica de las 3 variables para hombres y mujeres obteniendo así el índice de Género Femenino y Masculino (IGF e IGM). Finalmente, se dividió el IGF entre el IGM para obtener la diferencia entre H&M considerando estas variables.
Mientras más cerca a 100 esté esta variable existe menos diferencias entre mujeres y hombres. ",Departamental - Urbano
Ciudades inclusivas,"Con el fin de lograr la integración de la ciudadanía a su comunidad, para lograr una convivencia más armónica y con un mayor grado de democracia, es que se busca reducir las brechas de género y generacionales en cuanto al acceso a servicios e infraestructura que brindan las ciudades. Luchar contra las desigualdades y la segregación socioespacial que implica generar las condiciones para que quienes se sientan excluidos o quienes perciban que han disminuido sus derechos puedan tener acceso a los recursos y a las oportunidades de la vida en ciudad. 
- Brechas de género y generacionales
- Desigualdad y segregación socio espacial.
- Identidad cultural y el valor del patrimonio y la memoria colectiva
- Incorporación plena de los pueblos indígenas originarios al desarrollo de las ciudades",Reducir la desigualdad y la segregación socioespaciales incrementando el acceso a oportunidades y recursos ,Índice de Inequidad socioespacial,3,"Porcentaje de superficie con: mercados, área verde, espacio público, unidades educativas de nivel escolar, centros de salud de primer nivel, con buffer de 500m., y su distribución respecto al área total de la mancha urbana","Estimaciones ONU-HABITAT en base a datos de Imágenes SENTINEL 2A, OpenStreetMap y Google Earth. Ministerio de Salud.","A cada uno de los siguientes elementos se aplica un buffer de 500m: mercados, área verde (plazas, arques, pública), espacio público, escuelas (nivel escolar), centros de salud (1er nivel). Luego se observa cuánto de cada Km2 de la superficie de la mancha urbana está cubierto por estos 5 elementos con su respectivo buffer. Un Km2 cualquiera puede no estar cubierto por ningún elemento (valor=0) o, su superficie completa puede llegar a estar cubierta por los 5 elementos a la vez (valor=500) como máximo. Los diferentes Km2 de la mancha pueden estar cubiertos por todos, 4, 3, 2, 1 o ningún elemento, de manera completa o parcial, con ello se calcula el valor de cada Km2.
Luego se obtiene el valor promedio de cada Km2 de la mancha urbana y también el índice de Gini de estos valores. Con esto, se divide el valor promedio entre el valor máximo posible (valor máximo posible=500), con lo que se obtiene un porcentaje de cobertura estandarizado de acceso a servicios respecto del máximo posible, será un valor que va desde 0 hasta 100 (expresado de manera porcentual). Finalmente se divide este valor estandarizado entre el índice de Gini del valor. Mientras mayor sea el valor de este indicador implicará que existe mayor acceso a servicios urbanos.",Manchas Urbanas
Ciudades inclusivas,"Con el fin de lograr la integración de la ciudadanía a su comunidad, para lograr una convivencia más armónica y con un mayor grado de democracia, es que se busca reducir las brechas de género y generacionales en cuanto al acceso a servicios e infraestructura que brindan las ciudades. Luchar contra las desigualdades y la segregación socioespacial que implica generar las condiciones para que quienes se sientan excluidos o quienes perciban que han disminuido sus derechos puedan tener acceso a los recursos y a las oportunidades de la vida en ciudad. 
- Brechas de género y generacionales
- Desigualdad y segregación socio espacial.
- Identidad cultural y el valor del patrimonio y la memoria colectiva
- Incorporación plena de los pueblos indígenas originarios al desarrollo de las ciudades",Reducir la desigualdad y la segregación socioespaciales incrementando el acceso a oportunidades y recursos ,Proporción de personas que se sienten discriminadas,4,Porcentaje de población de 15 años y más edad que manifiesta sentir discriminación de algún tipo en áreas urbanas,Encuesta de Hogares - EH 2019 del INE.,"Porcentaje de la población de 15  años y más que se siente discriminada por cualquiera de los siguientes motivos: Orientación sexual e identidad de género; Edad; Sexo (Hombre, mujer); Color de la piel; Pertenencia a Nación, Pueblo, Indígena, Originario, Campesino (NPIOC); Idioma; Vestimenta; Procedencia regional o nacionalidad extranjera; Discapacidad; Religión; Condición económica o social (pobre, rico).",Departamental - Urbano
Ciudades inclusivas,"Con el fin de lograr la integración de la ciudadanía a su comunidad, para lograr una convivencia más armónica y con un mayor grado de democracia, es que se busca reducir las brechas de género y generacionales en cuanto al acceso a servicios e infraestructura que brindan las ciudades. Luchar contra las desigualdades y la segregación socioespacial que implica generar las condiciones para que quienes se sientan excluidos o quienes perciban que han disminuido sus derechos puedan tener acceso a los recursos y a las oportunidades de la vida en ciudad. 
- Brechas de género y generacionales
- Desigualdad y segregación socio espacial.
- Identidad cultural y el valor del patrimonio y la memoria colectiva
- Incorporación plena de los pueblos indígenas originarios al desarrollo de las ciudades","Fortalecer las identidades culturales poniendo en valor el patrimonio y la memoria colectiva, y promoviendo las artes ",Eficiencia del gasto en promoción de cultura y patrimonio,5,Relación del presupuesto ejecutado respecto del asignado en promoción de cultura y patrimonio,"DGP Ministerio de Culturas y Turismo, reportes SIGMA 2019",El monto de la inversión municipal en  patrimonio cultural en la partida programática: 23 PROMOCION Y CONSERVACION DE CULTURA Y PATRIMONIO,Departamental
Ciudades inclusivas,"Con el fin de lograr la integración de la ciudadanía a su comunidad, para lograr una convivencia más armónica y con un mayor grado de democracia, es que se busca reducir las brechas de género y generacionales en cuanto al acceso a servicios e infraestructura que brindan las ciudades. Luchar contra las desigualdades y la segregación socioespacial que implica generar las condiciones para que quienes se sientan excluidos o quienes perciban que han disminuido sus derechos puedan tener acceso a los recursos y a las oportunidades de la vida en ciudad. 
- Brechas de género y generacionales
- Desigualdad y segregación socio espacial.
- Identidad cultural y el valor del patrimonio y la memoria colectiva
- Incorporación plena de los pueblos indígenas originarios al desarrollo de las ciudades","Fortalecer las identidades culturales poniendo en valor el patrimonio y la memoria colectiva, y promoviendo las artes ",Participación en actividades culturales fuera del hogar,6,Porcentaje de personas de 18 años y más que participan en actividades culturales fuera del hogar,Encuesta de Hogares - EH 2017 del INE.,Personas de 18 años y más edad que contestaron que en los últimos 12 meses asistió a (una o varias): obras de teatro;  conciertos y recitales en vivo de cantantes y/o grupos nacionales; conciertos y recitales en vivo de cantantes y/o grupos internacionales; como espectador a festividades religiosas o patronales; fiestas cívicas o patrias; como espectador a  Carnavales u otras festividades.,Departamental - Urbano
Gobernanza de la ciudad,"Contar con instituciones fortalecidas a nivel local puede generar mayores oportunidades de realizar una mejor gestión, de aplicar mejor sus capacidades financieras y poder coordinar con el resto de los actores urbanos en un marco participativo y democrático, tomando decisiones en conjunto basados en evidencia, para lo cual es preciso generar los mecanismos para contar con información precisa y oportuna, fomentar la investigación y la innovación.
- La institucionalidad de las ciudades
- Capacidades y autonomía financiera de las ciudades
- Convivencia y cultura de paz, participación y corresponsabilidad sociales
- Información y datos de calidad, investigación para el desarrollo urbano
- Gobierno electrónico abierto, y la gestión de las ciudades",Indicador de Objetivo,Preferencia de la democracia sobre otra forma de gobierno,8,Porcentaje de personas de 18 años y más que prefieren la democracia como sistema de gobierno,Latinobarómetro: https://www.latinobarometro.org/lat.jsp,"Resultado de consulta a la población sobre adhesión a una de las siguientes alternativas: apoyo a régimen democrático, favorecimiento del autoritarismo, o indiferencia respecto al tipo de régimen",Total Bolivia
Gobernanza de la ciudad,"Contar con instituciones fortalecidas a nivel local puede generar mayores oportunidades de realizar una mejor gestión, de aplicar mejor sus capacidades financieras y poder coordinar con el resto de los actores urbanos en un marco participativo y democrático, tomando decisiones en conjunto basados en evidencia, para lo cual es preciso generar los mecanismos para contar con información precisa y oportuna, fomentar la investigación y la innovación.
- La institucionalidad de las ciudades
- Capacidades y autonomía financiera de las ciudades
- Convivencia y cultura de paz, participación y corresponsabilidad sociales
- Información y datos de calidad, investigación para el desarrollo urbano
- Gobierno electrónico abierto, y la gestión de las ciudades",Indicador de Objetivo,Forma urbana,9,"Mide cuán cerca se está del valor ideal de intersecciones (100/Km2) de calles, de longitud (20 Km) y área destinada a calles (36%) en cada ciudad",Imágenes satelitales (SENTINEL2 y google EARTH) GeoBOLIVIA y OpenStreetMap.,"El Índice de Forma Urbana permite medir, comparar y monitorear la estructura y organización de la red vial (densidad de intersecciones, longitud y superficie de calles) determinante para la configuración física de las ciudades y áreas urbanas del país.",Manchas Urbanas
Gobernanza de la ciudad,"Contar con instituciones fortalecidas a nivel local puede generar mayores oportunidades de realizar una mejor gestión, de aplicar mejor sus capacidades financieras y poder coordinar con el resto de los actores urbanos en un marco participativo y democrático, tomando decisiones en conjunto basados en evidencia, para lo cual es preciso generar los mecanismos para contar con información precisa y oportuna, fomentar la investigación y la innovación.
- La institucionalidad de las ciudades
- Capacidades y autonomía financiera de las ciudades
- Convivencia y cultura de paz, participación y corresponsabilidad sociales
- Información y datos de calidad, investigación para el desarrollo urbano
- Gobierno electrónico abierto, y la gestión de las ciudades",Indicador de Objetivo,Eficiencia del gasto local,10,Relación del gasto ejecutado respecto del planificado por municipio,"Atlas Fiscal, Volumen 22, UDAPE. 2019.",La proporción del gasto real con respecto al presupuesto estimado puede indicar la capacidad de los gobiernos locales para anticipar sus gastos futuros y mejorar el uso de sus recursos.,Municipal
Gobernanza de la ciudad,"Contar con instituciones fortalecidas a nivel local puede generar mayores oportunidades de realizar una mejor gestión, de aplicar mejor sus capacidades financieras y poder coordinar con el resto de los actores urbanos en un marco participativo y democrático, tomando decisiones en conjunto basados en evidencia, para lo cual es preciso generar los mecanismos para contar con información precisa y oportuna, fomentar la investigación y la innovación.
- La institucionalidad de las ciudades
- Capacidades y autonomía financiera de las ciudades
- Convivencia y cultura de paz, participación y corresponsabilidad sociales
- Información y datos de calidad, investigación para el desarrollo urbano
- Gobierno electrónico abierto, y la gestión de las ciudades",Transformar la institucionalidad de las ciudades,Conformación legal de las regiones metropolitanas,11,"Si las Regiones Metropolitanas tienen: Reconocimiento de la Región por Ley, Aprobación de los Concejos Municipales Involucrados, Estructura organizacional conformada, Estrategia de Desarrollo Integral (EDI) y, Código Institucional","Ministerio de Planificación, Región Metropolitana, Ministerio de Economía y Finanzas Publicas.","A cada elemento de la definición de Desarrollo Metropolitano (Reconocimiento de la Región por Ley, Consejo Metropolitano Sesionando, Estructura organizacional conformada, Estrategia de Desarrollo Integral (EDI) y, Código Institucional) se le asignará un 20% de avance. La tenencia de los 5 elementos implica 100% de avance para una región metropolitana. El índice es nacional y resulta del promedio de avance de las regiones metropolitanas del país.",Regiones Metropolitanas
Gobernanza de la ciudad,"Contar con instituciones fortalecidas a nivel local puede generar mayores oportunidades de realizar una mejor gestión, de aplicar mejor sus capacidades financieras y poder coordinar con el resto de los actores urbanos en un marco participativo y democrático, tomando decisiones en conjunto basados en evidencia, para lo cual es preciso generar los mecanismos para contar con información precisa y oportuna, fomentar la investigación y la innovación.
- La institucionalidad de las ciudades
- Capacidades y autonomía financiera de las ciudades
- Convivencia y cultura de paz, participación y corresponsabilidad sociales
- Información y datos de calidad, investigación para el desarrollo urbano
- Gobierno electrónico abierto, y la gestión de las ciudades",Transformar la institucionalidad de las ciudades,Crecimiento de la superficie aprobada de construcción respecto del crecimiento de la mancha urbana,12,Relación del crecimiento de la superficie aprobada para construir respecto del crecimiento de la mancha urbana,"INE - Estadísticas Económicas y datos de Imágenes SENTINEL 2A y, Google Earth.",Se calcula la variación anual del crecimiento de  la superficie aprobada para la construcción y se divide este número entre la tasa de crecimiento promedio anual de la mancha urbana.,Municipal
